id,name,slug,img
1,Plomo,plomo,
2,Morado,morado,
3,Champagne,champagne,
4,AMan,aman,
5,RFlor,rflor,
6,Blanco,blanco,
7,Brillosa,brillosa,
8,lazo,lazo,
9,MOSTAZA,mostaza,
10,NEGRO,negro,
11,IVORY,ivory,
12,Mesh-Top,mesh-top,
13,Fresa,fresa,
14,Lurex,lurex,
15,VERDE,verde,
16,MAnimP,manimp,
17,MEstrell,mestrell,
18,NegroB,negrob,
19,MNEst,mnest,
20,SFMNEst,sfmnest,
21,APAJA,apaja,
22,ROSA,rosa,
23,CoralS,corals,
24,Fucsia,fucsia,
25,VerdeA,verdea,
26,Verde,verde,
27,RosaP,rosap,
28,RAYAS,rayas,
29,RojoB,rojob,
30,Dorado,dorado,
31,DoradoTalla,doradotalla,
32,Oro,oro,
33,Plata,plata,
34,AG,ag,
35,bicolor,bicolor,
36,TA,ta,
37,VO,vo,
38,tejida,tejida,
39,AZUL,azul,
40,OLIVO,olivo,
41,AzulM,azulm,
42,corta,corta,
43,Color,color,
44,OroA,oroa,
45,VerdeO,verdeo,
46,VerdeOTalla,verdeotalla,
47,Cafe,cafe,
48,Hueso,hueso,
49,HUESO,hueso,
50,Negro,negro,
51,SAGE,sage,
52,Estampada,estampada,
53,Perla,perla,
54,Rosa,rosa,
55,Bicolor,bicolor,
56,VinilRosa,vinilrosa,
57,VerdeB,verdeb,
58,Shedron,shedron,
59,Tulipan,tulipan,
60,VinoT,vinot,
61,Petroleo,petroleo,
62,Vino,vino,
63,NegroE,negroe,
64,SatinNeg,satinneg,
65,SatinNegr,satinnegr,
66,SatNegr,satnegr,
67,BlancoM,blancom,
68,NegroBrillo,negrobrillo,
69,Rojo,rojo,
70,BMeshEstre,bmeshestre,
71,Camel,camel,
72,Cobrizo,cobrizo,
73,Lunares,lunares,
74,MeshLunare,meshlunare,
75,MeshAnim,meshanim,
76,Estre,estre,
77,Copa,copa,
78,RFlores,rflores,
79,Denim,denim,
80,Naranja,naranja,
81,VAguacate,vaguacate,
82,Naranjas,naranjas,
83,VC,vc,
84,VOTalla,votalla,
85,VR,vr,
86,Ab,ab,
87,Gold,gold,
88,VinilRosaP,vinilrosap,
89,Cuadros,cuadros,
90,VinilNegroM,vinilnegrom,
91,Suede,suede,
92,Mot,mot,
93,AzulO,azulo,
94,AzulC,azulc,
95,GrisO,griso,
96,GrisC,grisc,
97,GrisOsc,grisosc,
98,GriOsc,griosc,
99,HOLLISTER,hollister,
100,CyTBB,cytbb,
101,AC,ac,
102,Perlitas,perlitas,
103,Pedreria,pedreria,
104,DYE,dye,
105,Cin,cin,
106,TyC,tyc,
107,DenimRosa,denimrosa,
108,Abert,abert,
109,Med,med,
110,Cla,cla,
111,Osc,osc,
112,CyT,cyt,
113,Yellow,yellow,
114,Estoperoles,estoperoles,
115,CyTRB,cytrb,
116,HW,hw,
117,ONLY,only,
118,Beige,beige,
119,Pinzas,pinzas,
120,Campana,campana,
121,volada,volada,
122,ARey,arey,
123,VBoteTALLA,vbotetalla,
124,VBote,vbote,
125,VERDEL,verdel,
126,VLima,vlima,
127,VinilNe,vinilne,
128,VinilNeg,vinilneg,
129,VinilRoj,vinilroj,
130,LuX,lux,
131,Gafiti,gafiti,
132,elastico,elastico,
133,Tweed,tweed,
134,Est,est,
135,tartan,tartan,
136,Lentejuelas,lentejuelas,
137,NaranjaTALLA,naranjatalla,
138,Naranj,naranj,
139,Elastico,elastico,
140,VBotel,vbotel,
141,VBotell,vbotell,
142,VinilRP,vinilrp,
143,larga,larga,
144,ROJO,rojo,
145,off,off,
146,AMarino,amarino,
147,VInoT,vinot,
148,Olivo,olivo,
149,UnHoNegB,unhonegb,
150,VerBB,verbb,
151,Paja,paja,
152,EVerde,everde,
153,VerdeLima,verdelima,
154,Floral,floral,
155,Geometrico,geometrico,
156,NegroLent,negrolent,
157,VerdeAgua,verdeagua,
158,VManz,vmanz,
159,ML,ml,
160,Recto,recto,
161,Midi,midi,
162,CA,ca,
