id,ref,name,slug,entry,description,img,thumb,max_quantity,old_price,offer,price,featured,active,parent_id,color_id,department_id,category_id
1,INV-P-000001,Blusa Satin,blusa-satin-1,Producto importado desde inventario.,,/products/image51.png,,100,,,399.0,0,1,,1,1,1
2,INV-C-000002,Blusa Satin,blusa-satin-morado-2,Producto importado desde inventario.,,/products/image53.png,,100,,,399.0,0,1,1,2,1,1
3,INV-C-000003,Blusa Satin,blusa-satin-champagne-3,Producto importado desde inventario.,,/products/image52.jpeg,,100,,,399.0,0,1,1,3,1,1
4,INV-C-000004,Blusa Satin,blusa-satin-perla-4,Producto importado desde inventario.,,/products/image71.jpeg,,100,,,999.0,0,1,1,53,1,1
5,INV-P-000005,Blusa Halter Rib,blusa-halter-rib-5,Producto importado desde inventario.,,/products/image1.jpeg,,100,,,261.8,0,1,,4,1,1
6,INV-C-000006,Blusa Halter Rib,blusa-halter-rib-rflor-6,Producto importado desde inventario.,,/products/image2.jpeg,,100,,,261.8,0,1,5,5,1,1
7,INV-P-000007,Blusa Halter Abe,blusa-halter-abe-7,Producto importado desde inventario.,,/products/image3.jpeg,,100,,,399.0,0,1,,6,1,1
8,INV-C-000008,Blusa Halter Abe,blusa-halter-abe-vino-8,Producto importado desde inventario.,,/products/image91.jpeg,,100,,,399.0,0,1,7,62,1,1
9,INV-P-000009,Blusa Halter Vol,blusa-halter-vol-9,Producto importado desde inventario.,,/products/image4.jpeg,,100,,,449.0,0,1,,6,1,1
10,INV-C-000010,Blusa Halter Vol,blusa-halter-vol-vinilrosa-10,Producto importado desde inventario.,,/products/image78.jpeg,,100,,,449.0,0,1,9,56,1,1
11,INV-C-000011,Blusa Halter Vol,blusa-halter-vol-vino-11,Producto importado desde inventario.,,/products/image92.jpeg,,100,,,449.0,0,1,9,62,1,1
12,INV-P-000012,Blusa camisera,blusa-camisera-12,Producto importado desde inventario.,,/products/image57.jpeg,,100,,,299.0,0,1,,7,1,1
13,INV-P-000013,Blusa camisera con,blusa-camisera-con-13,Producto importado desde inventario.,,/products/image48.jpeg,,100,,,599.0,0,1,,8,1,1
14,INV-P-000014,Blusa perlas encaje,blusa-perlas-encaje-14,Producto importado desde inventario.,,/products/image5.png,,100,,,399.0,0,1,,9,1,1
15,INV-P-000015,Blusa cuello alto,blusa-cuello-alto-15,Producto importado desde inventario.,,/products/image50.jpeg,,100,,,449.0,0,1,,10,1,1
16,INV-P-000016,Blusa chaleco,blusa-chaleco-16,Producto importado desde inventario.,,/products/image6.png,,100,,,749.0,0,1,,11,1,1
17,INV-P-000017,Blusa Peplum,blusa-peplum-17,Producto importado desde inventario.,,/products/image7.jpeg,,100,,,657.8,0,1,,12,1,1
18,INV-C-000018,Blusa peplum,blusa-peplum-sfmnest-18,Producto importado desde inventario.,,/products/image14.jpeg,,100,,,547.8,0,1,17,20,1,1
19,INV-P-000019,Blusa halter,blusa-halter-19,Producto importado desde inventario.,,/products/image9.jpeg,,100,,,371.8,0,1,,13,1,1
20,INV-C-000020,Blusa halter,blusa-halter-negrob-20,Producto importado desde inventario.,,/products/image13.jpeg,,100,,,371.8,0,1,19,18,1,1
21,INV-C-000021,Blusa halter,blusa-halter-rosap-21,Producto importado desde inventario.,,/products/image25.jpeg,,100,,,415.8,0,1,19,27,1,1
22,INV-C-000022,Blusa halter,blusa-halter-rojob-22,Producto importado desde inventario.,,/products/image27.jpeg,,100,,,371.8,0,1,19,29,1,1
23,INV-C-000023,Blusa Halter,blusa-halter-vinilrosa-23,Producto importado desde inventario.,,/products/image103.jpeg,,100,,,399.0,0,1,19,56,1,1
24,INV-P-000024,Blusa manga corta,blusa-manga-corta-24,Producto importado desde inventario.,,/products/image56.png,,100,,,200.0,0,1,,14,1,1
25,INV-P-000025,Blusa MESH GLITTER,blusa-mesh-glitter-25,Producto importado desde inventario.,,/products/image10.png,,100,,,299.0,0,1,,15,1,1
26,INV-P-000026,Blusa HN Circ,blusa-hn-circ-26,Producto importado desde inventario.,,/products/image11.jpeg,,100,,,437.8,0,1,,16,1,1
